0.66895,1.1621,0.57132,0
1.5331,0.6594,1.2014,0
1.4241,1.0578,0.78422,0
0.48454,0.25517,0.3184,0
0.85905,0.5571,0.14283,0
1.0682,0.6733,0.61132,0
1.0372,0.3296,0.4868,0
0.85864,0.4521,0.32033,0
1.0634,0.5047,0.38384,0
0.87933,0.4165,0.27706,0
1.1809,0.6456,0.4602,0
0.79411,0.3728,0.63503,0
1.3265,1.1928,0.31608,0
0.76443,0.3804,0.45489,0
2.1488,2.2455,0.57469,0
1.5335,1.1536,0.7124,0
1.2833,0.8021,0.34211,0
0.66197,0.3969,0.69277,0
0.67939,0.86049,0.24245,0
0.81745,0.7,0.64276,0
2.0251,1.9734,0.43661,0
0.88318,0.8527,0.33195,0
0.69074,0.3218,0.51745,0
0.6733,0.5268,0.18136,0
1.1397,0.6359,0.65117,0
0.79116,1.1173,0.50385,0
1.105,0.5283,0.53462,0
0.76631,1.1111,0.51731,0
0.64509,0.43767,0.17783,0
0.85637,0.5339,0.72394,0
1.1518,0.1633,1.2746,0
0.79192,0.7318,0.24406,0
0.85091,0.51045,0.1295,0
1.0902,0.6108,0.54899,0
0.6549,1.041,0.28261,0
1.4417,0.4141,0.81664,0
0.80782,0.4209,0.46029,0
1.0981,0.7656,0.4132,0
0.91158,0.4097,0.35883,0
1.717,1.4609,0.64036,0
1.1517,0.6749,0.29706,0
1.3255,0.9038,0.66083,0
1.138,1.0399,0.24472,0
0.74142,0.3448,0.32656,0
1.3305,0.5455,0.25452,0
0.98764,1.0248,0.21658,0
0.7936,0.37508,0.24138,0
1.4956,0.9935,0.73133,0
0.68474,0.5658,0.4252,0
1.0744,0.3708,0.43553,0
1.4552,0.7732,0.34538,0
0.80236,0.4043,0.43417,0
0.68642,1.3816,0.42573,0
0.74819,0.83939,0.27983,0
0.97766,0.55,0.68906,0
1.2421,1.0343,0.47198,0
0.89752,0.3469,0.24773,0
0.82868,0.81752,0.29901,0
0.52782,0.33559,0.3496,0
0.54994,0.57211,0.30313,0
1.3788,0.588,0.75121,0
1.1202,0.5486,0.44352,0
0.59964,0.35262,0.33372,0
0.51884,0.46111,0.27984,0
1.3027,1.0581,0.52263,0
0.77082,0.27939,0.38551,0
0.71462,0.52589,0.49972,0
1.0651,0.2114,0.7388,0
1.0606,0.3709,0.53453,0
0.53516,0.34239,0.33864,0
1.1224,0.5613,0.39654,0
0.98274,1.5141,0.45874,0
0.77998,0.33141,0.2082,0
1.3019,1.0173,0.57337,0
1.2658,0.7683,0.51604,0
0.56837,0.59677,0.27042,0
1.5607,0.6278,1.0255,0
